Producto,CodigoOrigen,Codigo,Categoria,Proveedor,Deposito,Ubicacion,Cantidad,StockSeguridad
CABEZAL DOSIFICADORA EHE36PE,,2635,Insumos,AWC,Anaya 2710,,15,10
CABEZAL DOSIFICADORA EHE36VE,,2611,Insumos,AWC,Anaya 2710,,15,10
CABEZAL EH36 - PC,E36PE,2971,Insumos,AWC,Anaya 2710,,15,10
CABEZAL ENSANCHADOR 25X3.5,139622-001,2348,Insumos,AWC,Anaya 2710,,15,10
CABEZAL EWN C16 P/CLORO,DO-3,1776,Insumos,AWC,Anaya 2710,,15,10
CABEZAL EWN C21 P/CLORO,,1779,Insumos,AWC,Anaya 2710,,15,10
CABEZAL EWN/WJ - PE,N11PE,2970,Insumos,AWC,Anaya 2710,,15,10
CABEZAL UNION 25 MM,137364-001,2347,Insumos,AWC,Anaya 2710,,15,10
CABEZAL WALCHEM EWN,,2848,Insumos,AWC,Anaya 2710,,15,10
"CABLE 10FT, ELECTRODE. ORP, HIGH TEMPERATURE/PRESSURE",102963,2851,Insumos,AWC,Anaya 2710,,15,10
"CABLE 20FT, ELECTRODE, CONDUCTIVITY, COOLING, PASSIVE",190986,2850,Insumos,AWC,Anaya 2710,,15,10
CABLE CHAROLADO/GOMA NEGRO 2x0.50MM,LEM1214,2722,Insumos,AWC,Anaya 2710,,15,10
CABLE CU FUSTIX SUP PLAST FLEXIBLE GRIS 3x1 MM,NEO0767,2750,Insumos,AWC,Anaya 2710,,15,10
CABLE CU FUXTIX 3X2,NEO0687,2552,Insumos,AWC,Anaya 2710,,15,10
CABLE CU FUXTIX 4X6,NEO0700,2551,Insumos,AWC,Anaya 2710,,15,10
CABLE CU FUXTIX 5X2,NEO0707,2553,Insumos,AWC,Anaya 2710,,15,10
CABLE CU. FUSTIX R TIPO CHAROLADO 3x1.00 MM,NEO0685,2735,Insumos,AWC,Anaya 2710,,15,10
CABLE CU. FUSTIX R TIPO CHAROLADO 3x1.00 MM,NEO0685,2735,Insumos,AWC,Anaya 2710,,15,10
CABLE CU. FUSTIX R TIPO CHAROLADO 4X2.00 MM,NEO0697,2736,Insumos,AWC,Anaya 2710,,15,10
CABLE CU. FUSTIX R TIPO CHAROLADO 5x2.50MM,NEO0708,2737,Insumos,AWC,Anaya 2710,,15,10
CABLE CU.FUSTIK R TIPO CHAROLADO 2x1.00MM,NEO0675,2734,Insumos,AWC,Anaya 2710,,15,10
CABLE DISPLAY WS2H,V3248,2871,Insumos,AWC,Anaya 2710,,15,10
CABLE EQ UV STERIL. P/4-20mA,260134,1646,Insumos,AWC,Anaya 2710,,15,10
CABLE P/CONTROLADORES W100-600,19165-20,2547,Insumos,AWC,Anaya 2710,,15,10
CABLE P/SENSOR CONDUCTIVIDAD ATC 191694,103-115999,2685,Insumos,AWC,Anaya 2710,,15,10
CABLE P/VALVULA Y SENSOR DE PRESION,,226,Insumos,AWC,Anaya 2710,,15,10
CABLE RULO 4P 4C - 7FT - 2.1 MT MARFIL,COM3100,2707,Insumos,AWC,Anaya 2710,,15,10
CABLE UNIPOLAR BLANCO FUSTIX CF 1.00 MM,NEO0380,2729,Insumos,AWC,Anaya 2710,,15,10
CABLE UNIPOLAR CELESTE PUSTIK CF 1.00 MM,NEO0381,2730,Insumos,AWC,Anaya 2710,,15,10
CABLE UNIPOLAR MARRON FUSTIX CF 1.00 MM,NEO0382,2731,Insumos,AWC,Anaya 2710,,15,10
"CABLE UNIPOLAR MARRON FUSTIX CF 2,00MM",NEO0402,2838,Insumos,AWC,Anaya 2710,,15,10
CABLE UNIPOLAR NEGRO FUSTIX CF 2.0MM,NEO0404,2837,Insumos,AWC,Anaya 2710,,15,10
CABLE UNIPOLAR NEGROFUSTIX CF 1.00 MM,NEO0384,2733,Insumos,AWC,Anaya 2710,,15,10
CABLE UNIPOLAR ROJO FUSTIX CF 1.00 MM,NEO0383,2732,Insumos,AWC,Anaya 2710,,15,10
CABLE UNIPOLAR ROJO FUSTIX CF 2.00 MM,NEO0403,2836,Insumos,AWC,Anaya 2710,,15,10
CABLE UNIPOLAR VDE-AMAR FUSTIX CF 2.00MM,NEO0405,2839,Insumos,AWC,Anaya 2710,,15,10
"CABLE, 3 TWISTED PAIR SHIELDED (PH, ORP OR CONDUCTIVITY) 2,18/FT",102535,2853,Insumos,AWC,Anaya 2710,,15,10
CAJA CONDUCTIMETRO / ORP,GE4215,2742,Insumos,AWC,Anaya 2710,,15,10
CAJA EXT P/2 MODULOS MARFIL,CON2977,2693,Insumos,AWC,Anaya 2710,,15,10
CAJA EXT P/4 MODULOS MARFIL,CON2987,2566,Insumos,AWC,Anaya 2710,,15,10
CAJA EXTERIOR 3MOD BLANCA AVE,CON2980,2710,Insumos,AWC,Anaya 2710,,15,10
CAJA EXTERIOR 4MOD BLANCA AVE,CON2985,2711,Insumos,AWC,Anaya 2710,,15,10
CAJA EXTERIOR 6 MOD GRIS,CON2991,2753,Insumos,AWC,Anaya 2710,,15,10
CAJA PVC ORP,ROK1252,1644,Insumos,AWC,Anaya 2710,,15,10
CAM,10912,2321,Insumos,AWC,Anaya 2710,,15,10
CAMARA REACCION CD10,RCC17,1509,Insumos,AWC,Anaya 2710,,15,10
CAMARA REACCION CD300,CD287,1999,Insumos,AWC,Anaya 2710,,15,10
CAMBIO DE MEMBRANAS,CAM457236,1102,Insumos,AWC,Anaya 2710,,15,10
CAMIONETA FIORINO SCK5222,,3002,Insumos,AWC,Anaya 2710,,15,10
CAMIONETA PEUGEOT SCB3906,,3001,Insumos,AWC,Anaya 2710,,15,10
"CANASTA NHW 2""",,1984,Insumos,AWC,Anaya 2710,,15,10
"CANASTA P/TANQUE 9""X48",TD-34,1525,Insumos,AWC,Anaya 2710,,15,10
"CANASTA SUP. 1.050""",D1225-05,382,Insumos,AWC,Anaya 2710,,15,10
CANASTA SUP. 932BTM DIST 1.32,D1237,381,Insumos,AWC,Anaya 2710,,15,10
CANASTA SUP. C/BALLONETA 32mm,D1225-12,1528,Insumos,AWC,Anaya 2710,,15,10
"CANASTA SUPERIOR 1.320""",D1225-08,1537,Insumos,AWC,Anaya 2710,,15,10
CANASTA SUPERIOR 1.5,D1199,1710,Insumos,AWC,Anaya 2710,,15,10
CANASTA SUPERIOR 2 IN,D1199-02,1529,Insumos,AWC,Anaya 2710,,15,10
CANASTA SUPERIOR FT 2IN,D1200-03,1990,Insumos,AWC,Anaya 2710,,15,10
CANASTA SUPERIOR PARA VALV CLACK WS1,,1227,Insumos,AWC,Anaya 2710,,15,10
"CANASTA SUPERIOR PARA VALVULA CLACK WS1,25",,1230,Insumos,AWC,Anaya 2710,,15,10
CAÑERIA PVC 25MM,,330,Insumos,AWC,Anaya 2710,,15,10
CANILLA FILTRO DE AGUA,FAUCET,1650,Insumos,AWC,Anaya 2710,,15,10
"CAÑO 20""",,2278,Insumos,AWC,Anaya 2710,,15,10
CAÑO 22MMX2MMX3MTS,ACC,1629,Insumos,AWC,Anaya 2710,,15,10
"CAÑO 25""",,2279,Insumos,AWC,Anaya 2710,,15,10
"CAÑO 32""",39510102,2280,Insumos,AWC,Anaya 2710,,15,10
CAÑO 63 MM,,2932,Insumos,AWC,Anaya 2710,,15,10
"CAÑO COLECTOR 1,320""D EXT X12P",D1139-64.5,1576,Insumos,AWC,Anaya 2710,,15,10
"CAÑO COLECTOR 1.050""",D1130-12FT,1536,Insumos,AWC,Anaya 2710,,15,10
"CAÑO INOX CUADRADO 100X50 MM / 1,2 MM ESPESOR",,215,Insumos,AWC,Anaya 2710,,15,10
"CAÑO INOX CUADRADO 30X30 MM / 1,2 MM ESPESOR",,207,Insumos,AWC,Anaya 2710,,15,10
"CAÑO INOX CUADRADO 40X40 MM / 1,2 MM ESPESOR",,211,Insumos,AWC,Anaya 2710,,15,10
"CAÑO INOX CUADRADO 50X50 MM / 1,2 MM ESPESOR",,214,Insumos,AWC,Anaya 2710,,15,10
"CAÑO INOX REDONDO 38 MM / 1,2MM ESPESOR",,253,Insumos,AWC,Anaya 2710,,15,10
"CAÑO INOX REDONDO 50 MM / 1,2MM ESPESOR",39510043,255,Insumos,AWC,Anaya 2710,,15,10
CAÑO PVC 25mm / 1 mt.,,104,Insumos,AWC,Anaya 2710,,15,10
CAÑO PVC 32 mm / 1mt.,SD-01-032-10,105,Insumos,AWC,Anaya 2710,,15,10
CAÑO PVC 40 MM (METRO),,2784,Insumos,AWC,Anaya 2710,,15,10
CAÑO PVC 50 MM (METRO),39510104,2783,Insumos,AWC,Anaya 2710,,15,10
CAÑO PVC REDONDO 25MM,,461,Insumos,AWC,Anaya 2710,,15,10
CAÑO PVC REDONDO 32 MM,33106,299,Insumos,AWC,Anaya 2710,,15,10
CAÑO PVC REDONDO 40 MM,,325,Insumos,AWC,Anaya 2710,,15,10
CAÑO PVC REDONOD 50 MM,,326,Insumos,AWC,Anaya 2710,,15,10
CAÑO SOLDA 25MM PVC CL10,39510101,2223,Insumos,AWC,Anaya 2710,,15,10
CAP 3-1/2 BRINE WELL,H7015,1842,Insumos,AWC,Anaya 2710,,15,10
CAP 4 BRINE WELL,H7016,1843,Insumos,AWC,Anaya 2710,,15,10
CAP 5 BRINE WELL,H7017,1844,Insumos,AWC,Anaya 2710,,15,10
CAPSULA DE SILICAGEL EN LINEA,FLT34,369,Insumos,AWC,Anaya 2710,,15,10
CARBON ACTIVADO CALGON HAC,A8009-12,1068,Insumos,AWC,Anaya 2710,,15,10
Carbón Activado CALGON TN5,,2682,Insumos,AWC,Anaya 2710,,15,10
CARBON ACTIVADO CALGON TNS x 500KG,,1069,Insumos,AWC,Anaya 2710,,15,10
CARBON ACTIVADO CS-HAC,A8009-14,2766,Insumos,AWC,Anaya 2710,,15,10
CARBON ACTIVADO GRANULAR COC-L,GAC,2146,Insumos,AWC,Anaya 2710,,15,10
CARBON ACTIVADO X KG,,2538,Insumos,AWC,Anaya 2710,,15,10
"CARCASA INOX MULTIFILTROS 20""",7FOS2-2BSPT,2897,Insumos,AWC,Anaya 2710,,15,10
"CARCASA P/FILTR 10""X2.5"" 3/4"" AZUL",,1603,Insumos,AWC,Anaya 2710,,15,10
"CARCASA P/FILTR 10""X2.5"" 3/4"" TRANSPARENTE",KX BC-10-0.5,1604,Insumos,AWC,Anaya 2710,,15,10
"CARCAZA P/FILTRO 10""x1/4""WHITE",1014W,1648,Insumos,AWC,Anaya 2710,,15,10
"CARCAZA P/FILTRO 10""X2,5X3/4""A",1034B,1599,Insumos,AWC,Anaya 2710,,15,10
"CARCAZA P/FILTRO 10""X2,5X3/4""T",1034C,1598,Insumos,AWC,Anaya 2710,,15,10
"CARCAZA P/FILTRO 10""X4,5X1""A",JUMBO,1600,Insumos,AWC,Anaya 2710,,15,10
"CARCAZA P/FILTRO 20""X2,5X1/2""T",XLC,1632,Insumos,AWC,Anaya 2710,,15,10
"CARCAZA P/FILTRO 20""X2,5X3/4""A",XL-20,1597,Insumos,AWC,Anaya 2710,,15,10
"CARCAZA P/FILTRO 20""X2,5X3/4""TRANSPARENTE",,1605,Insumos,AWC,Anaya 2710,,15,10
"CARCAZA P/FILTRO 20""x2.5x1/2""",XL12,2098,Insumos,AWC,Anaya 2710,,15,10
"CARCAZA P/FILTRO 20""x4,5X1"" A",BIG-BLUE,13,Insumos,AWC,Anaya 2710,,15,10
CARETA PROTECTORA VALVULA CLACK,V3162-032,2470,Insumos,AWC,Anaya 2710,,15,10
CARETA WS2H,V3068,2869,Insumos,AWC,Anaya 2710,,15,10
CARTON 12/13 SINGLE MINERAL TK,C2067,2113,Insumos,AWC,Anaya 2710,,15,10
CARTRIDGE T & O CARBON 4 OZ,S1035,1410,Insumos,AWC,Anaya 2710,,15,10
"CARTUCHO DE FILTRO 10""X2,5""0.2",SP-10-0.22,1060,Insumos,AWC,Anaya 2710,,15,10
CARTUCHO DE RECAMBIO FILTERMAX,723620,2448,Insumos,AWC,Anaya 2710,,15,10
CARTUCHO INDION MIXTO 2.5x20,,1898,Insumos,AWC,Anaya 2710,,15,10
"CARTUCHO RECARGABLE 10""",213000,2439,Insumos,AWC,Anaya 2710,,15,10
"CARTUCHO RECARGABLE 20X4,5",E-BB,1532,Insumos,AWC,Anaya 2710,,15,10
CARTUCHO RES MIX CAT-AN 2.5x10,,1961,Insumos,AWC,Anaya 2710,,15,10
"CASKET,CASING PTFE, MDM 1518-326",V3070,2600,Insumos,AWC,Anaya 2710,,15,10
CASQUILLO POLIMERO 25X3.5,160003-001,2343,Insumos,AWC,Anaya 2710,,15,10
CATHAETER CAPS,,7100,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO EN LINEA 1"" - 2 - 20 GPM",,1016,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO EN LINEA 1"" - 3 - 30 GPM",,1017,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO EN LINEA 1,5"" - 20 - 100 GPM",,1020,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO EN LINEA 1,5"" - 20 - 60 GPM",,1018,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO INOX 1,5"" PARA VALVULA WS1,5",V1BMZ-03,423,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO INOX 2"" PARA VÁVLUAL WS2",A8023,421,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO P/PANEL 1"" - 1 - 10 GPM",,1013,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO P/PANEL 1"" - 2 - 14 GPM",,1014,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO P/PANEL 1"" - 2 - 20 GPM",,1015,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO P/PANEL 1/2"" - 0,1 - 0,8 GPM",,1009,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO P/PANEL 1/2"" - 0,1 - 1 GPM",,1010,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO P/PANEL 1/2"" - 0,2 - 2 GPM",,1011,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO P/PANEL 1/2"" - 0,5 - 5 GPM",,1012,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO PROMINENT 1""",,2144,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO PROMINENT 1.5""",021004554,1913,Insumos,AWC,Anaya 2710,,15,10
"CAUDALÍMETRO PROMINENT 3/4""",,401,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO WALCHEM 1""",WFM101-3G1,2405,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO WALCHEM 1.5""",WFM151-3G5,2406,Insumos,AWC,Anaya 2710,,15,10
"CAUDALIMETRO WALCHEM 2""",WFM201-3G5,2407,Insumos,AWC,Anaya 2710,,15,10
CELDA COMPLETA CD2000P,RCC10,2947,Insumos,AWC,Anaya 2710,,15,10
CELDA COMPLETA PARA SENSOR,191289,2857,Insumos,AWC,Anaya 2710,,15,10
CELDA DOBLE,32100002,2135,Insumos,AWC,Anaya 2710,,15,10
CELDA SIMPLE,,2195,Insumos,AWC,Anaya 2710,,15,10
CELDA SIMPLE1,2100001,2091,Insumos,AWC,Anaya 2710,,15,10
CENIZA DE SODA,,2099,Insumos,AWC,Anaya 2710,,15,10
"CEPILLO CAMARA REACCIÓN 1""",ST11,1790,Insumos,AWC,Anaya 2710,,15,10
"CEPILLO CAMARA REACCION 2""",ST10,1668,Insumos,AWC,Anaya 2710,,15,10
CHAIN,11224,2329,Insumos,AWC,Anaya 2710,,15,10
CHASIS EQUIPO DE OSMOSIS 1 A 3 MEMB,,2761,Insumos,AWC,Anaya 2710,,15,10
CHASIS EQUIPO OSMOSIS 4 A 8 MEMB,,2760,Insumos,AWC,Anaya 2710,,15,10
CHASIS OSMOSIS DOBLE PASO,,2486,Insumos,AWC,Anaya 2710,,15,10
CHASIS OSMOSIS GRANDE,,2476,Insumos,AWC,Anaya 2710,,15,10
CJPPU - TIMBRES,,81,Insumos,AWC,Anaya 2710,,15,10
"CLAMP 1 - 1/2"" INOX",,1056,Insumos,AWC,Anaya 2710,,15,10
CLAMP BOMBA VERTICAL CENTRIFUGA,CLAMP ECDL4-12,1738,Insumos,AWC,Anaya 2710,,15,10
CLAMP BOMBA VERTICAL CENTRIFUGA 12M3/H - 124MTS,ACC,1741,Insumos,AWC,Anaya 2710,,15,10
CLAMP BOMBA VERTICAL CENTRIFUGA 7M3/H - 114MTS,,1739,Insumos,AWC,Anaya 2710,,15,10
CLAMP BOMBA VERTICAL CENTRIFUGA 7M3/H - 152MTS,CLAMP ECDL4-16,1737,Insumos,AWC,Anaya 2710,,15,10
"Clip sellado 1/2"" J.G",PIC181GR,355,Insumos,AWC,Anaya 2710,,15,10
CLOSURE,C610226,2461,Insumos,AWC,Anaya 2710,,15,10
CNP - BOMBA HORIZONTAL CENTRIFUGA  CHL 12-40,,451,Insumos,AWC,Anaya 2710,,15,10
CNP - BOMBA HORIZONTAL CENTRIFUGA  CHL 16-30,,452,Insumos,AWC,Anaya 2710,,15,10
CNP - BOMBA HORIZONTAL CENTRIFUGA  CHL 4-40,,450,Insumos,AWC,Anaya 2710,,15,10
CNP - BOMBA VERTICAL CENTRIFUGA  - CDLF 2-15,CRI-323,456,Insumos,AWC,Anaya 2710,,15,10
CNP - BOMBA VERTICAL CENTRIFUGA  CDLF 4-16,,457,Insumos,AWC,Anaya 2710,,15,10
CNP - BOMBA VERTICAL CENTRIFUGA  CDLF 8-16,,458,Insumos,AWC,Anaya 2710,,15,10
"CODO (45º) 20""",,2255,Insumos,AWC,Anaya 2710,,15,10
"CODO (45º) 25""",39510011,2256,Insumos,AWC,Anaya 2710,,15,10
"codo (45º) 32""",39510012,2257,Insumos,AWC,Anaya 2710,,15,10
"CODO 1""",20010003,2239,Insumos,AWC,Anaya 2710,,15,10
CODO 1/2 X1/2 KYNAR,JC50-8KPG,2368,Insumos,AWC,Anaya 2710,,15,10
"CODO 1/2""",20010001,2237,Insumos,AWC,Anaya 2710,,15,10
"CODO 1/2"" EN 45º",20010007,2235,Insumos,AWC,Anaya 2710,,15,10
CODO 1/2¨,144202,2586,Insumos,AWC,Anaya 2710,,15,10
CODO 18MM J.G,PM0318E,473,Insumos,AWC,Anaya 2710,,15,10
"CODO 20""",39510001,2252,Insumos,AWC,Anaya 2710,,15,10
CODO 22M J.G,PM0322E,474,Insumos,AWC,Anaya 2710,,15,10
"CODO 25 MM X 3/4""",39510168,362,Insumos,AWC,Anaya 2710,,15,10
"CODO 25""",39510002,2253,Insumos,AWC,Anaya 2710,,15,10
"CODO 3/4""",20010002,2238,Insumos,AWC,Anaya 2710,,15,10
"CODO 32""",39510003,2254,Insumos,AWC,Anaya 2710,,15,10
CODO 40 MM PVC,39510004,2521,Insumos,AWC,Anaya 2710,,15,10
CODO 45º,160053-001,2340,Insumos,AWC,Anaya 2710,,15,10
CODO 63 MM,,2930,Insumos,AWC,Anaya 2710,,15,10
CODO 90° D.25 ACQUEDOTTO PN16 15 U.,913-25,3009,Insumos,AWC,Anaya 2710,,15,10
CODO 90º 32MM,160023-001,2341,Insumos,AWC,Anaya 2710,,15,10
CODO 90º PVC 25MM,,464,Insumos,AWC,Anaya 2710,,15,10
CODO 90º PVC 32MM,,327,Insumos,AWC,Anaya 2710,,15,10
CODO 90º PVC 40MM,,328,Insumos,AWC,Anaya 2710,,15,10
CODO 90º PVC 50MM,,331,Insumos,AWC,Anaya 2710,,15,10
"CODO CON ROSCA 20""",39510169,2258,Insumos,AWC,Anaya 2710,,15,10
"CODO CON ROSCA 25""",,2259,Insumos,AWC,Anaya 2710,,15,10
"CODO CON ROSCA 32""",,2260,Insumos,AWC,Anaya 2710,,15,10
CODO FIJO 1/4 X 1/4,PI480822S,2051,Insumos,AWC,Anaya 2710,,15,10
CODO FIJO 3/8 X 3/8 CON ROSCA,PI481223S,2175,Insumos,AWC,Anaya 2710,,15,10
CODO HEMBRA 1/2X1/2 KYNAR,JC45-8-8KPG,1719,Insumos,AWC,Anaya 2710,,15,10
"CODO INOX 1 Y 1/4""",144205,2743,Insumos,AWC,Anaya 2710,,15,10
CODO INOX 1/4,,2796,Insumos,AWC,Anaya 2710,,15,10
"CODO INOX ARTICULADO 1""",,251,Insumos,AWC,Anaya 2710,,15,10
"CODO INOX ARTICULADO DE 1,5""",,252,Insumos,AWC,Anaya 2710,,15,10
"CODO MACHO 1/2"" C/ROSCA",20010014,2236,Insumos,AWC,Anaya 2710,,15,10
"CODO MACHO 1/2""x1/2""",AQF EL 1212MT,2052,Insumos,AWC,Anaya 2710,,15,10
CODO MACHO 1/2X1/2 KYNAR,JC40-8-8KPG,1718,Insumos,AWC,Anaya 2710,,15,10
CODO MACHO 1/4 KYNAR,JC40-4-4KPG,2609,Insumos,AWC,Anaya 2710,,15,10
"CODO MACHO 3/4""",20010015,2234,Insumos,AWC,Anaya 2710,,15,10
CODO PVC 50MM,6040402,2691,Insumos,AWC,Anaya 2710,,15,10
CODO ROSCA TUBO 1/2,39510171,358,Insumos,AWC,Anaya 2710,,15,10
"CODO UNION  1/2""",AQF EL 1212TT,312,Insumos,AWC,Anaya 2710,,15,10
CODO UNION 1/4 J.G,PI0308S,407,Insumos,AWC,Anaya 2710,,15,10
CODO UNION 1/4 X 1/4 NYLON,JC50-4NPG,1995,Insumos,AWC,Anaya 2710,,15,10
"CODO UNION 1/4""",AQF EL 1414TT,1812,Insumos,AWC,Anaya 2710,,15,10
CODO UNION 3/8,AQF EL 3838TT,311,Insumos,AWC,Anaya 2710,,15,10
COLUMNA CALIBRACION 250,CC-PVC-250-D,2548,Insumos,AWC,Anaya 2710,,15,10
COLUMNA LECHO MIXTO 6 X 17,,2755,Insumos,AWC,Anaya 2710,,15,10
COMMCENTER ASSY,270270-R,2402,Insumos,AWC,Anaya 2710,,15,10
COMPRESOR AIRE PR1300,AC25,1673,Insumos,AWC,Anaya 2710,,15,10
CON.MACHO rosca-espiga18mmx1/2,PM051814E,479,Insumos,AWC,Anaya 2710,,15,10
CON.MACHO rosca-espiga22mmx1/2,PM052214E,480,Insumos,AWC,Anaya 2710,,15,10
CON.MACHO rosca-espiga22mmx3/4,PM052216E,481,Insumos,AWC,Anaya 2710,,15,10
CONCENTRADOR AEROUS NX 15 SCFH 220/240V 50/60HZ,,1653,Insumos,AWC,Anaya 2710,,15,10
CONCENTRADOR DE OXIGENO OXUS-8,OXU85,1786,Insumos,AWC,Anaya 2710,,15,10
CONDENSADOR ILUMINACION EPCOS 30UF/250V,MGI0422,2723,Insumos,AWC,Anaya 2710,,15,10
CONDUCTIMETRO COMPLETO,,2508,Insumos,AWC,Anaya 2710,,15,10
CONDUCTIMETRO CONTROL M - 2 PUNTAS,ROC-8221,2010,Insumos,AWC,Anaya 2710,,15,10
CONDUCTIMETRO CONTROL M - TRES PUNTAS,CCT-9300,2861,Insumos,AWC,Anaya 2710,,15,10
CONDUCTIMETRO DIGITAL TDS-BA,TDS-BA,1160,Insumos,AWC,Anaya 2710,,15,10
CONDUCTIMETRO DIGITAL TDS-IL,TDS-IL,453,Insumos,AWC,Anaya 2710,,15,10
CONDUCTIMETRO DIGITAL TDS-IL-B,TDS-IL-BA,1748,Insumos,AWC,Anaya 2710,,15,10
CONDUCTIMETRO GEORGE FISCHER,ACC,2646,Insumos,AWC,Anaya 2710,,15,10
CONDUCTIMETRO PORTATIL,,2516,Insumos,AWC,Anaya 2710,,15,10
CONECTOR 1/2X1/2 CON ROSCA Y ESPIGA JG,PI051624S,316,Insumos,AWC,Anaya 2710,,15,10
"CONECTOR 3/4"" (POLISULFONA)",PSEI0428E,2823,Insumos,AWC,Anaya 2710,,15,10
CONECTOR ALTA PRESION 1/2 NPT,191669,2896,Insumos,AWC,Anaya 2710,,15,10
CONECTOR ANGULO C/ROSCA 1'',V3007,376,Insumos,AWC,Anaya 2710,,15,10
CONECTOR ANGULO PEGAR,V3007-01,377,Insumos,AWC,Anaya 2710,,15,10
CONECTOR C7ROSCA 1/2X 3/8,AQF CO 1238MT,303,Insumos,AWC,Anaya 2710,,15,10
CONECTOR CIEGO PARA HANSEN,,1858,Insumos,AWC,Anaya 2710,,15,10
"CONECTOR CLAMP  1"" C/REBOSE 3/4"" INOX",,1055,Insumos,AWC,Anaya 2710,,15,10
CONECTOR CON ESPIGA FILSA,,1859,Insumos,AWC,Anaya 2710,,15,10
CONECTOR CON ROSCA FG,,1862,Insumos,AWC,Anaya 2710,,15,10
CONECTOR EN T 1/2x1/2 ROSC,AQF T 1212TT,1327,Insumos,AWC,Anaya 2710,,15,10
CONECTOR FEMALE,7306,2069,Insumos,AWC,Anaya 2710,,15,10
"CONECTOR HANSEN MACHO 3/8"" ROS",,1930,Insumos,AWC,Anaya 2710,,15,10
"CONECTOR HANSEN MACHO ¼"" ROSCA",,1931,Insumos,AWC,Anaya 2710,,15,10
"CONECTOR HANSEN MACHO ½"" ROSCA",,1929,Insumos,AWC,Anaya 2710,,15,10
CONECTOR HEMBRA 1/2X1/2 KYNAR,JC25-8-8KPG,1717,Insumos,AWC,Anaya 2710,,15,10
CONECTOR HEMBRA 3/8X1/2 BSPP,PI451214FS,2911,Insumos,AWC,Anaya 2710,,15,10
CONECTOR HEMBRA 3/8X3/8 BSPP,PI451215FS,2910,Insumos,AWC,Anaya 2710,,15,10
"CONECTOR J. G. PARA TUBO 1/2""",CONTU4785,1112,Insumos,AWC,Anaya 2710,,15,10
"CONECTOR M-H 1/2"" CONEX. 1/4""",264800,2535,Insumos,AWC,Anaya 2710,,15,10
CONECTOR MACHO 1/2X1/2 J.G,PI011624S,304,Insumos,AWC,Anaya 2710,,15,10
CONECTOR MACHO 1/2X1/2 KYNAR,JC10-8-8KPG,1715,Insumos,AWC,Anaya 2710,,15,10
CONECTOR MACHO 1/2X3/8 C/ROSCA Y ESPIGA,PI051623S,315,Insumos,AWC,Anaya 2710,,15,10
CONECTOR MACHO 1/4 X 1/4 KYNAR,JC10-4-4KPG,2367,Insumos,AWC,Anaya 2710,,15,10
CONECTOR MACHO 1/4 X 1/4 NYLON,JC10-4-4NPG,1994,Insumos,AWC,Anaya 2710,,15,10
"CONECTOR MACHO 1/4""x1/8"" J.G",PI010821S,408,Insumos,AWC,Anaya 2710,,15,10
CONECTOR MACHO 1/4X1/4,AQF CO 1414MT,300,Insumos,AWC,Anaya 2710,,15,10
CONECTOR MACHO 3/8 CON ROSCA,,1041,Insumos,AWC,Anaya 2710,,15,10
CONECTOR MACHO 3/8x1/2 J.G,PII011224S,305,Insumos,AWC,Anaya 2710,,15,10
CONECTOR MACHO 3/8x3/8,AQF T 3838TT,302,Insumos,AWC,Anaya 2710,,15,10
"CONECTOR MACHO 5/16"" X 3/8""",PM010803S,301,Insumos,AWC,Anaya 2710,,15,10
"CONECTOR MACHO ROSCA 1,25"" PARA VITAULIC",,1887,Insumos,AWC,Anaya 2710,,15,10
"CONECTOR MACHO ROSCA 1,5 PARA VITAULIC",,1888,Insumos,AWC,Anaya 2710,,15,10
"CONECTOR MACHO ROSCA 2"" PARA VITAULIC",,1857,Insumos,AWC,Anaya 2710,,15,10
CONECTOR MACHOros-tub 18mmx1/2,PM011814E,477,Insumos,AWC,Anaya 2710,,15,10
CONECTOR MACHOros-tub 22mmx3/4,PM012216E,478,Insumos,AWC,Anaya 2710,,15,10
CONECTOR P/BOMBA WALCHEM EW(N),E90495,2493,Insumos,AWC,Anaya 2710,,15,10
CONECTOR PP 1/2 P/ SENSOR CONDUCT,103907,2891,Insumos,AWC,Anaya 2710,,15,10
"Conector rápido c/rosca 1/2""FG",,756,Insumos,AWC,Anaya 2710,,15,10
Conector rápido ciego FG,,755,Insumos,AWC,Anaya 2710,,15,10
