Codigo;CodigoOrigen;Concepto;Categoria;Proveedor;Producto;StockActual;STOCK ANAYA 2710;Ubicaci�n Anaya;STOCK CROCKER;Ubicaci�n Crocker;STOCK JUANICO;Ubicaci�n Juanico;OBSERV.; EN VIAJE;StockSeguridad;Stock M�ximo;Diferencia;"Bajo de stock ""BAJO"""; PRECIO FOB ;DTO; FOB FILSA ; PRECIO FOB FAC ;% COSTO ESTIMADO; COSTO ESTIMADO ; COSTO REAL$ ; COSTO REAL USD ; COEF. ; PRECIO DE LISTA USD ;NCM - NOMENCLATURA
1196;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1197;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1199;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1200;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1201;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1202;RELOSM741;;Vac�o;;RELOJ DE OSMOSIS;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1204;;;ACC CA�ERIA INOX;;V�LVULA INOX 3/4;18;18;0;;;;;;;0;0;0;;;0%;0;;;;; USD -   ;1,1; USD -   ;
1205;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;8421,99
1206;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1207;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1210;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1212;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1213;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1214;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1215;;INSUMOS;TEST;GONZALEZ NOBLE;TEST DE ABLANDADOR;0;;0;;;;;;;15;30;30;BAJO;;;;;;;$ 400,00; USD 10,00 ;; USD 16,00 ;
1216;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1217;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1219;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1220;39510075;;Vac�o;LA PROA DEL SANITARIO;BUJE 50 X 40 MM PVC;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;1,3; USD -   ;
1227;JD209 TOP DISTRIBUTOR;;ACC TANQUES FIBRA;HIDROTEK;CANASTA SUP. PARA VALV CLACK WS1;17;17;E-06-02;;;;;;;;;0;; USD 0,50 ;0%; USD 0,50 ;;35%;0,68;; USD 1,00 ;22; USD 11,00 ;
1230;JD220T TOP DISTRIBUTOR;;ACC TANQUES FIBRA;HIDROTEK;CANASTA SUP. PARA VALVULA CLACK WS1,25;49;49;E-06-02;;;;;;;;;0;; USD 0,50 ;0%; USD 0,50 ;;35%;0,68;; USD 1,00 ;22; USD 11,00 ;
1231;47011;;Vac�o;BAKO S.A.;"VALVULA UNIDIRECCIONAL 1"" INOX";0;;0;;;;;;;;;0;;;5%;;;;;; USD 14,38 ;1,3; USD 18,69 ;
1235;LWSMC400300200;;Vac�o;TANGSHAN ZHENGCHENG ELECTRIC CO;TABLERO CON BANDEJA 400X300X200 MM;0;;0;;;;;;10;;;0;; USD 26,32 ;0%; USD 26,32 ;;35%;35,53;; USD -   ;;;
1240;LWSMC500400200;;Vac�o;TANGSHAN ZHENGCHENG ELECTRIC CO;TABLERO CON BANDEJA 500X400X200 MM;0;;0;;;;;;10;;;0;; USD 37,87 ;0%; USD 37,87 ;;35%;51,12;; USD -   ;;;
1244;LWSMC600400230;;Vac�o;TANGSHAN ZHENGCHENG ELECTRIC CO;TABLERO CON BANDEJA 600X400X230 MM;0;;0;;;;;;20;;;0;; USD 46,44 ;0%; USD 46,44 ;;35%;62,69;; USD -   ;;;
1245;LWSMC800600300;;Vac�o;TANGSHAN ZHENGCHENG ELECTRIC CO;TABLERO CON BANDEJA 800X600X300 MM;0;;0;;;;;;20;;;0;; USD 84,11 ;0%; USD 84,11 ;;35%;113,55;; USD -   ;;;
1246;DIN RAIIL;;Vac�o;TANGSHAN ZHENGCHENG ELECTRIC CO;RIEL DIN 35 MM (1 METRO);0;;0;;;;;;200;;;0;; USD 0,63 ;0%; USD 0,63 ;;35%;0,85;; USD -   ;;;
1247;PG7;;Vac�o;TANGSHAN ZHENGCHENG ELECTRIC CO;PASA CABLE PG7 (cable 3-6,5);0;;0;;;;;;400;;;0;; USD 0,04 ;0%; USD 0,04 ;;35%;0,05;; USD -   ;;;
1248;PG9;;Vac�o;TANGSHAN ZHENGCHENG ELECTRIC CO;PASA CALBLE PG9 (cable 4-8);0;;0;;;;;;400;;;0;; USD 0,05 ;0%; USD 0,05 ;;35%;0,07;; USD -   ;;;
1249;PG11;;Vac�o;TANGSHAN ZHENGCHENG ELECTRIC CO;PASA CALBLE PG11 (cable 5-10);0;;0;;;;;;900;;;0;; USD 0,07 ;0%; USD 0,07 ;;35%;0,09;; USD -   ;;;
1252;PG13,5;;Vac�o;TANGSHAN ZHENGCHENG ELECTRIC CO;PASA CABLE PG13,5 (cable 6-12);0;;0;;;;;;900;;;0;; USD 0,08 ;0%; USD 0,08 ;;35%;0,11;; USD -   ;;;
1256;PG16;;Vac�o;TANGSHAN ZHENGCHENG ELECTRIC CO;PASA CABLE PG16 (cable 10-14);0;;0;;;;;;900;;;0;; USD 0,10 ;0%; USD 0,10 ;;35%;0,14;; USD -   ;;;
1257;REBOSE112;;Vac�o;;"REBOSE DE PVC 1/2"" x 1/2""";0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1258;PG19;;Vac�o;TANGSHAN ZHENGCHENG ELECTRIC CO;PASA CALBE PG19 (cable 12-15);0;;0;;;;;;400;;;0;; USD 0,16 ;0%; USD 0,16 ;;35%;0,22;; USD -   ;;;
1259;PG21;;Vac�o;TANGSHAN ZHENGCHENG ELECTRIC CO;PASA CABLE PG21 (cable 13-18);0;;0;;;;;;400;;;0;; USD 0,18 ;0%; USD 0,18 ;;35%;0,24;; USD -   ;;;
1261;;;Vac�o;;;0;;0;;;;;;;0;0;0;;#N/A;0%;#N/A;;35%;#N/A;$ 15.400,00; USD 385,00 ;; USD -   ;
1262;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1263;SALGRSA25;;Vac�o;SAL TORREVIEJA;SAL GRUESA KG;0;;0;;;;;;;;;0;;0,228;0;0,228;;;;; USD 0,29 ;1,3; USD 0,37 ;
1264;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1265;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1267;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1268;REBOSE1;;Vac�o;;"REBOSE DE BRONCE DE 1""";0;;0;;;;;;;;;0;;;;;;;;; USD 6,24 ;;;
1269;;;Vac�o;,;;0;;0;;;;;;;;;0;;;25,00%; -   ;;;;; USD 14,00 ;; USD -   ;
1270;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1276;;TANQUE SALMUERA;TANQUE SALMUERA;HIDROTEK;TANQUE SALMUERA COMPLETO 1000 LTS;6;;0;3;;2;;;;0;0;0;;167,5;0%;167,5;;40%;234,5;$ 9.219,20; USD 230,48 ;4,21; USD 705,18 ;
1277;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD 1,20 ;;;
1279;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1280;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1282;;;Vac�o;LARRIQUE RULEMANES;RULEMAN 6203;0;;0;;;;;;;;;0;;;;;;;;; USD 4,40 ;;;
1284;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1291;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1292;;;Vac�o;FRESENIUS MEDICAL CARE;PURISTERIL ACIDO PERACETICO BIDON;0;;0;;;;;;;;;0;;$ 2.571,00;35%;$ 1.671,15;;;;$ 1.671,15; USD 41,78 ;1,3; USD 54,31 ;
1293;ACPERAC;;ACIDO PERACETICO;INGENIERIA FG S.A.;ACIDO PERACETICO - OXIDIAL - 5 LTS;38;38;1-B-7-3;;;;;;390;291;780;742;BAJO; USD 19,50 ;0%; USD 19,50 ;;16%;22,62;$ 893,60; USD 22,34 ;3,36; USD 65,52 ;
1294;;;con STOCK;INGENIERIA FG S.A.;TOTE OXIDIAL 1100KG;1;;0;;;1;;;;;;0;; USD 3.960,00 ;0%; USD 3.960,00 ;;16%;4.593,60;; USD 4.536,40 ;1,3; USD 5.148,00 ;
1295;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1296;AC PERAC;INSUMOS;Vac�o;INGENIERIA FG S.A.;BIDON  ACIDO PERACETICO 5KG;0;;0;;;;;;;;;0;;;;;5,7;;;; USD 17,42 ;;;
1297;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1298;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1299;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;$ 1.440,00; USD 36,00 ;;;
1300;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1301;B01062 C500;INSUMOS TALLER;SERVICIO;ELECO SA;BOLSA PARA MUESTREO CAJA 500 UNID (NASCO);0;;0;;;;;;;;;0;;90;0;90;;;;; USD 90,00 ;;;
1304;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1305;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1306;MANO16002;;Vac�o;;ELECTROVALVULA PVC 1 1/4;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1307;;;Vac�o;,;;0;;0;;;;;;;0;0;0;; USD 13,42 ;0,22; USD 2,95 ;2,84;35,00%;3,98;$ 164,00; USD 4,10 ;; USD -   ;
1308;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1309;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;$ 36,07; USD 0,90 ;; USD 1,68 ;
1311;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1312;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1314;;;Vac�o;;TEFLON 3/4;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1315;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;$ 184,00; USD 4,60 ;;;
1317;;INSUMOS;CONECTORES RAPIDOS;FILSA LTDA.;HANSEN CON ESPIGA ;0;;0;;;;;;;100;201;201;BAJO;;;;;;;$ 338,78; USD 8,47 ;; USD 13,00 ;
1318;;;con STOCK;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1319;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1320;;INSUMOS;CONECTORES RAPIDOS;FILSA LTDA.;HANSEN CIEGO ;0;;0;;;;;;;100;200;200;BAJO;;;;;;;$ 338,78; USD 8,47 ;; USD 13,00 ;
1321;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD 31,00 ;;;
1322;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1323;;;Vac�o;LARRIQUE RULEMANES;RULEMAN 6202;0;;0;;;;;;;;;0;;;;;;;;$ 129,00; USD 4,20 ;;;
1325;;;Vac�o;,; ;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1326;1916;;ACC BOMBAS CENT;UNIVERG;SELLO BOMBA ESPA PRISMA 15 ;0;;0;;;;;;;;;0;;;;;;;;; USD 20,00 ;;;
1327;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD 2,23 ;;;
1328;MANMAL140;MANGUERA;MANGUERA;GARCIA Y QUINTANA Ltda.;"MANGUERA DE MALLA 1/4"" (50 METROS)";1;1;0;;;;;;;50;100;99;BAJO;0,68;0%;0,68;;;;$ 20,40; USD 1,00 ;1,6; USD 1,09 ;
1329;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;$ 15,25; USD 2,00 ;;;
1330;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1331;;;Vac�o;,;;0;;0;;;;;;;0;0;0;;1,5;0%;1,5;;35%;2,03;;;; USD -   ;
1332;REDUC3114;;Vac�o;;"REDUCCION 1/2"" x 1/4""";0;;0;;;;;;;;;0;;;;;;;;; USD 0,81 ;;;
1333;;osmo grande;Vac�o;;MANOMETRO 10 BAR;0;;0;;;;;;;;;0;;;;;;;;$ 290,00; USD 8,00 ;;;
1334;;;Vac�o;;TOMA CORRIENTE (SHUCO);0;;0;;;;;;;;;0;;;;;;;;$ 300,00; USD 7,50 ;;;
1335;MOINUN16;;Vac�o;;MODULO INTERRUPTOR UNIPOLAR;0;;0;;;;;;;;;0;;;;;;;;$ 80,00; USD 2,40 ;;;
1337;39510062;;Vac�o;LA PROA DEL SANITARIO;UNION DOBLE 50 MM PVC;0;;0;;;;;;;;;0;;;;;;;;$ 120,00; USD 3,00 ;1,3; USD 3,90 ;
1338;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1340;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1344;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1350;BA-ICE-S;IMPEDANCIA;ACC EQUIPO UV;VIQUA;IMPEDANCIA UV STERIL. BA-ICE-S;0;;1-D-02-02;;;;;1-D-02-02;;5;10;10;BAJO; USD 270,50 ;55%;121,73;85,05;50%;182,59;$ 7.600,00; USD 190,00 ;1,1; USD 297,55 ;8504-10
1351;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1352;AD32;OZONO;EQUIPO OZONO;CLEAR WATER TECH LLC;SECADOR AIRE AD40;1;1;0;;;;;;;0;0;0;; USD 1.782,67 ;55%; USD 811,11 ;622;40,00%;1.135,56;; USD 800,37 ;0,9; USD 1.604,40 ;
1353;;;Vac�o;,;;0;;0;;;;;;;0;0;0;;#N/A;0%;#N/A;;40,00%;#N/A;$ 2.798,80; USD 69,97 ;;#N/A;
1354;DES16;;ACC EQ OZONO;CLEAR WATER TECH LLC;SILICA GEL;0;;0;;;;;;;0;0;0;; USD 93,00 ;55%; USD 42,32 ;31;40,00%;59,24;$ 1.589,44; USD 39,74 ;1,2; USD 111,60 ;
1355;RCC102;;ACC EQ OZONO;CLEAR WATER TECH LLC;TEFLON ENDCAP HV-2IN;3;3;1-D-05-02-06;;;;;1-D-05-02-06;;0;0;0;; USD 220,00 ;55%; USD 100,10 ;;40,00%;140,14;; USD 113,23 ;1,2; USD 264,00 ;
1356;OCD22;;EQUIPO OZONO;CLEAR WATER TECH LLC;DESTRUCTOR OZONO;3;3;1-D54;;;;;1-D-05-02-06 / 1-D-05-01 / 1-D-05-04;;2;3;0;; USD 2.009,72 ;55%; USD 914,42 ;;40,00%;1.280,19;$ 33.355,20; USD 833,88 ;0,9; USD 1.808,75 ;
1357;387002;;Vac�o;FIVISA;ABRAZADERA INOX CHICA 8 a 20mm;0;;0;;;;;;;;;0;;;;;;;;; USD 0,43 ;;;
1358;379395;;Vac�o;FIVISA;ABRAZADERA INOX GRANDE 20 a 34;0;;0;;;;;;;;;0;;;;;;;;; USD 0,68 ;;;
1359;162043;;ACC CA�ERIA PVC;DREGHAL;"MANGUERA DE GOMA DE 1""";0;;0;;;;;;;;;0;;;;;;;;$ 227,00; USD 5,68 ;;;
1361;V3190-200;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;RESTRICTOR DE FLUJO 200 - 1;10;10;1-E-12-02;;;;;;15;30;80;70;BAJO; USD 6,56 ;0,32; USD 2,10 ;1,8;35,00%;2,83;$ 160,00; USD 4,00 ;1,25; USD 8,20 ;
1362;V3175EI-01;REPUESTO - VALVULA;ACC. VALVULAS CLACK;CLACK CORPORATION;WS1EI FRONT COVER ASSEMBLY (CARETA);7;7;1-D-33;;;;;1-D42-08;;15;30;23;BAJO; USD 19,32 ;0,32; USD 6,18 ;5,42;35,00%;8,35;$ 328,56; USD 8,21 ;1,25; USD 24,15 ;
1363;105700;;Vac�o;;CA�O TEFLON 1/4;0;;0;;;;;;;;;0;;;;;;;;; USD 1,00 ;;;
1366;146346;;Vac�o;RUBEN APRAHAMIAN;ENTREROSCA DE 1/4 x 1/2 INOX;0;;0;;;;;;;;;0;; USD 0,93 ;0%; USD 0,93 ;;;;; USD 0,93 ;1,3; USD 1,21 ;
1370;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;$ 35,50; USD 0,89 ;;;
1371;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;$ 6,30; USD 0,16 ;;;
1373;S7010S;FILTRO;CARBON;CLACK CORPORATION;"FILTRO CARB�N GAC 10"" Standard (12 C/CAJA)";1107;435;1-A-62 y 61;192;;480;;;;360;600;0;; USD 17,60 ;0,32; USD 5,63 ;4,75;35,00%;7,6;$ 364,00; USD 9,10 ;0,91; USD 15,98 ;8421,99
1374;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;$ 9.008,48; USD 225,21 ;;;
1375;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD 1,00 ;;;
1376;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1377;;;Vac�o;,;;0;;0;;;;;;;0;0;0;;#N/A;#N/A;#N/A;;35,00%;#N/A;$ 4.248,00; USD 106,20 ;;#N/A;
1378;V1TCDTF-01;VALVULA;VALVULA;CLACK CORPORATION;VALVULA CLACK WS1TC ;3;3;1-D-02-01;;;;;;;0;0;0;; USD 396,69 ;0,32; USD 126,94 ;;35,00%;171,37;; USD 227,72 ;1,2; USD 476,03 ;
1379;V3193-01;;ACC. VALVULAS CLACK;CLACK CORPORATION;WS1 EXTENDED WRENCH;0;;0;;;;;2;;0;0;0;;17,75;0,32; USD 5,68 ;;35,00%;7,67;$ 77,60; USD 1,94 ;1,35; USD 23,96 ;
1380;;;Vac�o;;"CUPLA DE 1""";0;;0;;;;;;;;;0;;;;;;;;$ 9,55; USD 0,24 ;;;
1381;V3006;ACCESORIOS - VALVULA;ACC. VALVULAS CLACK;CLACK CORPORATION - caja 24;CONJUNTO BYPASS PARA VALVULA AUTOM�TICA ;20;20;1-D42-10;;;;;;24;50;100;80;BAJO; USD 45,31 ;0,32; USD 14,50 ;12,84;35,00%;19,57;$ 872,04; USD 21,80 ;1,37; USD 62,03 ;
1382;V3186EU-06 DC 12V.;ACCESORIOS - VALVULA;ACC. VALVULAS CLACK;CLACK CORPORATION - caja 24;TRANSFORMADOR 220V - 12V;70;70;1-D-42-05;;;;;;120;50;100;30;; USD 24,53 ;0,32; USD 7,85 ;6,95;35,00%;10,6;$ 520,00; USD 13,00 ;1,3; USD 31,89 ;
1383;V3162-007;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;RESTRICTOR DE FLUJO 007 - 3/4;80;80;1-E42-09-01;;;;;1-E42-09-01;20;30;80;0;; USD 2,65 ;0,32; USD 0,85 ;0,75;35,00%;1,14;$ 80,00; USD 2,00 ;1,25; USD 3,31 ;
1384;V3162-010;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;RESTRICTOR DE FLUJO 010 - 3/4;20;20;1-E-12-02;;;;;;20;0;0;0;; USD 2,65 ;0,32; USD 0,85 ;0,75;35,00%;1,14;$ 80,00; USD 2,00 ;1,25; USD 3,31 ;
1385;V3162-013;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;RESTRICTOR DE FLUJO 013 - 3/4;30;30;1-D-04-02-9;;;;;;20;0;0;0;; USD 2,65 ;0,32; USD 0,85 ;0,75;35,00%;1,14;$ 80,00; USD 2,00 ;1,25; USD 3,31 ;
1386;V3162-017;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;RESTRICTOR DE FLUJO 017 - 3/4;100;100;1-D-04-02-09;;;;;1-E42-09-01;20;30;80;0;; USD 2,65 ;0,32; USD 0,85 ;0,75;35,00%;1,14;$ 80,00; USD 2,00 ;1,25; USD 3,31 ;
1387;V3162-022;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;RESTRICTOR DE FLUJO 022 - 3/4;90;90;1-D-04-02-09;;;;;1-E42-09-01;20;30;80;0;; USD 2,65 ;0,32; USD 0,85 ;0,75;35,00%;1,14;$ 80,00; USD 2,00 ;1,25; USD 3,31 ;
1388;V3162-027;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;RESTRICTOR DE FLUJO 027 - 3/4;28;28;0;;;;;1-E42-09-01;20;30;80;52;BAJO; USD 2,65 ;0,32; USD 0,85 ;0,75;35,00%;1,14;$ 80,00; USD 2,00 ;1,25; USD 3,31 ;
1389;V3162-032;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;RESTRICTOR DE FLUJO 032 - 3/4;39;39;1-D-04-02-09;;;;;1-E42-09-01;20;30;80;41;; USD 2,65 ;0,32; USD 0,85 ;0,75;35,00%;1,14;$ 80,00; USD 2,00 ;1,26; USD 3,34 ;
1390;V3162-042;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;RESTRICTOR DE FLUJO 042 - 3/4;38;38;1-D-04-02-09;;;;;1-E42-09-01;20;30;80;42;; USD 2,65 ;0,32; USD 0,85 ;0,75;35,00%;1,14;$ 80,00; USD 2,00 ;1,25; USD 3,31 ;
1391;V3162-053;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;RESTRICTOR DE FLUJO 053 - 3/4;55;55;1-D-04-02-09;;;;;1-E42-09-01;20;30;80;25;; USD 2,65 ;0,32; USD 0,85 ;0,75;35,00%;1,14;$ 80,00; USD 2,00 ;1,25; USD 3,31 ;
1392;V3162-065;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;RESTRICTOR DE FLUJO 065 - 3/4;79;79;1-D-04-02-09;;;;;1-E42-09-01;20;30;80;1;; USD 2,65 ;0,32; USD 0,85 ;0,75;35,00%;1,14;$ 80,00; USD 2,00 ;1,25; USD 3,31 ;
1393;V3162-075;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;RESTRICTOR DE FLUJO 075 - 3/4;80;80;1-E-12-02;;;;;1-E42-09-01;20;30;80;0;; USD 2,65 ;0,32; USD 0,85 ;0,75;35,00%;1,14;$ 80,00; USD 2,00 ;1,25; USD 3,31 ;
1394;V3162-090;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;RESTRICTOR DE FLUJO 090 - 3/4;66;66;0;;;;;;20;30;80;14;; USD 2,65 ;0,32; USD 0,85 ;0,75;35,00%;1,14;$ 80,00; USD 2,00 ;1,25; USD 3,31 ;
1395;V3162-100;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;RESTRICTOR DE FLUJO 100 - 3/4;26;26;0;;;;;;20;30;80;54;BAJO; USD 2,65 ;0,32; USD 0,85 ;0,75;35,00%;1,14;$ 80,00; USD 2,00 ;1,25; USD 3,31 ;
1396;V3010-1A;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;"INYECTOR A - NEGRO WS1 - 6""";65;65;1-E-12-02;;;;;1-E42-09-02;;30;80;15;; USD 5,15 ;0,32; USD 1,65 ;1,46;35,00%;2,22;$ 80,00; USD 2,00 ;1,25; USD 6,44 ;
1397;V3010-1B;REPUESTO;Vac�o;CLACK CORPORATION;"INYECTOR B - MARRON WS1 - 7""";0;;0;;;;;;;0;0;0;; USD 5,15 ;0,32; USD 1,65 ;1,46;35,00%;2,22;$ 80,00; USD 2,00 ;1,25; USD 6,44 ;
1398;V3010-1C;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;"INYECTOR C - VIOLETA - 8"" ";38;38;1-D-04-02-9;;;;;1-E42-09-02;;30;80;42;; USD 5,15 ;0,32; USD 1,65 ;1,46;35,00%;2,22;$ 84,00; USD 2,10 ;1,25; USD 6,44 ;
1399;V3010-1D;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;"INYECTOR D - ROJO - 9""";27;27;0;;;;;1-E42-09-02;20;30;80;53;BAJO; USD 5,15 ;0,32; USD 1,65 ;1,46;35,00%;2,22;$ 120,00; USD 3,00 ;1,25; USD 6,44 ;
1400;V3010-1E;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;"INYECTOR E - BLANCO - 10""";61;61;1-E42-09-02;;;;;;;30;80;19;; USD 5,15 ;0,32; USD 1,65 ;1,46;35,00%;2,22;$ 120,00; USD 3,00 ;1,25; USD 6,44 ;
1401;V3010-1F;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;"INYECTOR F - AZUL - 12""";90;90;1-D-04-02-9;;;;;1-E42-09-02;20;30;80;0;; USD 5,15 ;0,32; USD 1,65 ;1,46;35,00%;2,22;$ 120,00; USD 3,00 ;1,25; USD 6,44 ;
1402;V3010-1G;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;"INYECTOR G - AMARILLO - 13""";105;105;1-D-04-02-9;;;;;1-E42-09-02;10;30;80;0;; USD 5,15 ;0,32; USD 1,65 ;1,46;35,00%;2,22;$ 120,00; USD 3,00 ;1,25; USD 6,44 ;
1403;V3010-1H;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;"INYECTOR H - VERDE - 14""";66;66;1-D-04-02-9;;;;;1-E42-09-02;10;30;80;14;; USD 5,15 ;0,32; USD 1,65 ;1,46;35,00%;2,22;$ 120,00; USD 3,00 ;1,25; USD 6,44 ;
1404;V3010-1J;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;"INYECTOR J - AZUL CLARO - 18""";83;83;1-D-04-02-9;;;;;1-E42-09-02;20;30;80;0;; USD 5,15 ;0,32; USD 1,65 ;1,46;35,00%;2,22;$ 120,00; USD 3,00 ;1,25; USD 6,44 ;
1405;V3010-1K;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;"INYECTOR K - VERDE CLARO - 21""";22;22;1-D-04-02-09;;;;;1-E42-09-02;10;30;80;58;BAJO; USD 5,15 ;0,32; USD 1,65 ;1,46;35,00%;2,22;$ 120,00; USD 3,00 ;1,25; USD 6,44 ;
1406;;;Vac�o;;;0;;0;;;;;;;0;0;0;; USD 1,90 ;0,34; USD 0,64 ;;35,00%;0,87;$ 54,80; USD 1,37 ;; USD -   ;
1407;D1212-04;DIFUSORES - TANQUE;ACC TANQUES FIBRA;CLACK CORPORATION;"DIFUSOR SIMPLE INFERIOR 1,050""";7;7;1-E-6-2-03;;;;;;;50;100;93;BAJO; USD 12,00 ;0,39; USD 4,68 ;2,42;35,00%;6,32;$ 198,24; USD 4,96 ;1,5; USD 18,00 ;
1408;;;ACC TANQUES FIBRA;,;;0;;1-E-12-02;;;;;;;0;0;0;;#N/A;#N/A;#N/A;;35,00%;#N/A;$ 268,80; USD 6,72 ;;#N/A;
